tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
13.6,11.2,17.9,0.5,,208.0,20.8,,1016.7,
15.7,10.7,21.6,,,204.0,14.1,,1020.8,
20.7,17.7,24.3,,,219.0,13.5,,1015.5,
24.2,17.1,31.7,0.0,,185.0,13.2,,1011.3,
17.9,14.4,22.4,0.0,,250.0,21.3,,1013.7,
14.3,10.7,18.5,0.0,,294.0,11.0,,1019.8,
15.0,12.0,17.8,0.0,,309.0,11.5,,1021.2,
15.5,11.0,19.1,0.0,,269.0,6.7,,1025.0,
13.5,8.4,16.5,,,,10.0,,1021.4,
16.2,14.4,19.9,,,238.0,15.2,,1014.8,
15.7,12.7,22.1,,,249.0,12.7,,1008.3,
14.7,11.6,19.0,0.5,,258.0,23.7,,,
15.5,13.0,18.4,0.0,,269.0,15.5,,1016.7,
13.9,10.9,15.8,0.0,,55.0,13.9,,1023.0,
12.6,7.4,18.4,0.0,,51.0,10.8,,1035.5,
15.6,9.9,21.1,0.0,,112.0,5.3,,1036.7,
17.7,12.2,22.7,0.0,,86.0,6.6,,1031.3,
15.7,12.3,18.9,,,24.0,13.0,,1024.2,
12.6,8.5,15.8,0.0,,56.0,9.8,,1018.9,
14.1,12.2,17.9,0.0,,281.0,15.1,,1010.0,
13.8,8.2,18.8,0.0,,291.0,15.7,,1007.1,
14.3,8.2,19.4,0.0,,243.0,15.3,,,
15.7,12.5,20.6,,,212.0,18.1,,1013.2,
17.2,15.3,19.8,,,241.0,16.3,,1019.3,
21.6,17.7,26.1,,,265.0,14.3,,1025.8,
24.4,19.0,29.9,0.0,,143.0,13.1,,1024.8,
26.2,18.3,33.1,0.0,,146.0,10.9,,1017.0,
24.0,20.3,27.0,,,317.0,7.1,,1014.8,
19.9,14.4,24.6,0.0,,304.0,10.9,,1019.5,
23.6,17.5,29.2,0.0,,272.0,8.6,,1021.4,
23.6,14.8,30.5,0.0,,232.0,5.4,,1018.0,
23.4,19.3,27.4,,,26.0,11.7,,1013.8,
17.6,15.4,19.4,1.0,,44.0,14.3,,1019.3,
15.8,12.9,20.7,0.0,,77.0,16.4,,1025.7,
18.3,12.3,25.6,0.0,,96.0,12.9,,1022.6,
18.8,13.9,25.0,,,72.0,19.1,,,
19.6,15.4,25.2,,,268.0,10.6,,1007.8,
16.9,15.7,18.2,3.0,,235.0,14.1,,1006.6,
17.3,13.8,21.7,0.5,,250.0,14.0,,1013.0,
18.6,16.8,21.0,,,247.0,12.4,,1017.3,
17.3,14.4,19.5,,,230.0,10.6,,1015.6,
14.5,12.1,18.3,1.0,,280.0,18.0,,1009.0,
14.9,11.6,17.7,2.8,,235.0,16.5,,1009.9,
16.0,14.0,18.9,,,291.0,18.8,,1007.4,
15.3,12.2,20.1,0.8,,320.0,20.6,,1013.0,
16.0,13.7,18.3,0.0,,346.0,14.2,,1018.7,
17.1,14.2,21.8,0.0,,32.0,14.1,,1023.4,
21.2,14.2,28.0,0.0,,44.0,12.1,,1028.3,
22.6,19.2,26.4,0.0,,58.0,12.6,,1031.2,
19.4,14.7,26.0,0.0,,77.0,12.7,,1030.1,
22.6,16.0,29.4,0.0,,151.0,8.6,,1024.8,
24.1,16.9,30.2,0.0,,206.0,9.6,,1019.0,
22.2,18.0,26.8,0.0,,290.0,13.5,,1014.3,
19.9,15.3,23.3,0.0,,353.0,11.7,,1016.9,
20.7,11.4,28.4,0.0,,257.0,6.4,,1015.7,
20.3,17.1,25.5,,,233.0,13.7,,1008.6,
17.8,14.6,21.9,,,285.0,19.6,,1015.0,
19.2,15.8,24.0,,,296.0,19.4,,1019.7,
17.3,14.2,21.3,,,337.0,14.1,,1020.6,
17.2,13.7,21.2,,,2.0,9.8,,1016.6,
19.0,17.1,22.9,,,55.0,3.9,,1009.6,
17.8,16.1,21.6,8.1,,171.0,14.4,,1003.5,
16.2,14.9,17.7,7.6,,8.0,12.0,,1003.4,
16.6,14.2,19.7,,,87.0,9.3,,1011.4,
14.0,12.5,15.3,6.1,,61.0,14.4,,1009.5,
19.1,14.9,24.3,1.5,,138.0,16.3,,1007.9,
18.4,14.7,23.4,,,,,,,
17.1,14.3,20.9,,,248.0,12.9,,1011.4,
16.9,14.5,20.0,,,333.0,10.7,,1013.5,
17.2,14.9,20.6,9.1,,88.0,11.4,,1018.0,
19.5,14.3,24.7,,,183.0,7.3,,1020.8,
19.0,15.4,22.6,,,282.0,16.0,,1021.4,
18.3,14.2,22.3,,,283.0,13.2,,1025.0,
17.5,14.2,21.2,6.9,,293.0,16.1,,1018.4,
16.4,12.9,19.8,,,308.0,14.3,,1020.7,
16.5,11.9,20.6,,,2.0,13.5,,1018.6,
17.4,12.7,23.1,,,0.0,11.1,,1020.1,
19.6,14.2,25.2,,,317.0,8.7,,1016.5,
19.6,15.3,24.5,,,349.0,10.7,,1015.9,
20.4,15.4,25.3,,,266.0,8.2,,1015.1,
17.6,15.1,20.5,,,324.0,15.3,,1014.7,
17.2,14.4,20.9,,,266.0,10.3,,1015.7,
16.2,13.5,19.0,4.6,,331.0,17.8,,1016.5,
17.8,12.7,23.2,0.0,,339.0,8.8,,1024.5,
19.9,14.9,25.7,0.0,,78.0,7.6,,1022.4,
20.5,15.5,25.9,0.0,,113.0,10.3,,1019.2,
22.0,15.7,29.2,0.0,,94.0,8.7,,1013.6,
17.0,15.5,21.5,3.3,,337.0,11.9,,1014.8,
16.7,14.0,19.6,5.8,,340.0,13.2,,1021.3,
19.5,15.5,23.8,0.0,,330.0,9.9,,1022.4,
16.8,15.1,18.8,0.0,,279.0,9.8,,1016.9,
16.9,12.3,21.5,9.9,,309.0,11.7,,1018.3,
15.7,14.8,17.5,0.0,,230.0,18.1,,1008.9,
14.4,11.2,17.7,8.4,,256.0,16.3,,1004.4,
15.1,11.4,19.8,0.8,,264.0,15.5,,1014.1,
17.2,14.4,19.9,0.0,,237.0,9.9,,1017.2,
17.7,10.1,24.0,0.0,,224.0,8.9,,1021.2,
19.9,14.6,25.3,0.0,,267.0,11.3,,1022.6,
21.2,,27.6,,,,,,,
23.4,17.4,31.8,0.0,,,,,,
20.6,18.2,23.4,0.0,,265.0,13.7,,1013.4,
18.9,14.7,23.4,0.0,,25.0,10.7,,1024.6,
19.0,15.3,24.7,0.0,,85.0,12.7,,1027.5,
21.7,17.7,28.1,0.0,,107.0,16.3,,1020.7,
20.5,18.6,23.1,11.9,,301.0,8.7,,1013.0,
19.6,17.8,22.0,0.0,,88.0,3.1,,1009.8,
20.2,15.9,25.5,0.3,,237.0,12.5,,1011.1,
19.6,15.5,25.3,0.0,,225.0,14.4,,1012.1,
20.5,16.7,25.8,0.0,,41.0,6.3,,1009.4,
19.7,13.9,23.4,6.6,,,,,,
16.4,15.1,18.5,0.3,,11.0,13.5,,1014.1,
17.2,14.1,21.6,0.0,,34.0,10.8,,1021.5,
18.2,14.3,22.8,0.0,,,7.2,,1024.5,
19.2,15.6,24.5,0.0,,250.0,14.8,,1021.5,
17.8,14.7,20.8,0.5,,259.0,14.1,,1014.7,
12.6,10.2,15.0,11.4,,25.0,20.1,,1016.9,
11.8,7.5,16.0,0.0,,339.0,9.4,,1025.7,
13.7,10.5,16.1,0.0,,289.0,6.7,,1027.5,
16.7,15.1,19.5,0.0,,212.0,5.6,,1025.7,
15.8,9.0,22.5,0.0,,214.0,4.5,,1024.9,
17.5,15.2,21.5,0.0,,227.0,8.5,,1022.7,
17.6,14.0,22.6,0.0,,191.0,7.5,,1018.9,
16.7,14.7,20.2,0.0,,218.0,12.9,,1012.8,
12.6,4.9,18.5,1.8,,162.0,5.0,,1017.9,
16.6,14.2,20.7,0.0,,232.0,12.7,,1010.3,
15.1,11.5,17.8,0.5,,246.0,16.2,,1015.3,
16.1,12.2,20.0,2.8,,243.0,18.2,,1013.9,
12.1,8.1,15.4,0.0,,235.0,16.3,,1018.4,
12.1,8.6,15.3,7.4,,276.0,14.0,,1019.2,
16.4,12.1,19.9,2.0,,227.0,13.6,,1017.1,
13.5,11.4,17.9,0.8,,285.0,16.6,,1014.1,
11.9,8.9,14.8,0.5,,338.0,14.2,,1023.9,
12.4,9.4,15.5,0.0,,346.0,8.0,,1030.7,
13.1,10.3,16.4,0.0,,26.0,8.5,,1030.5,
13.7,10.8,16.9,0.0,,33.0,12.6,,1027.4,
15.5,14.5,16.7,0.0,,120.0,8.1,,1024.0,
16.5,14.9,18.5,0.0,,105.0,7.4,,1019.6,
16.0,12.5,19.3,0.0,,216.0,13.9,,1014.7,
12.7,9.5,16.8,1.5,,234.0,9.9,,1020.4,
17.2,11.8,22.9,0.0,,174.0,13.1,,1015.3,
19.2,16.6,22.6,0.0,,185.0,14.3,,1010.3,
18.2,16.9,20.1,0.3,,192.0,15.1,,1009.7,
14.1,12.2,16.4,10.4,,24.0,10.5,,1017.9,
14.2,12.1,16.2,1.8,,69.0,12.7,,1026.8,
16.4,14.6,19.8,0.0,,97.0,15.1,,1026.0,
14.9,12.3,18.1,0.0,,83.0,12.4,,1021.9,
14.5,12.7,18.3,1.0,,84.0,9.5,,1021.0,
12.1,10.7,13.3,0.0,,114.0,15.8,,1014.6,
13.5,11.4,16.5,4.3,,189.0,13.7,,1007.4,
12.2,9.8,15.8,15.2,,209.0,13.1,,1006.5,
14.3,12.4,17.4,0.0,,202.0,19.4,,996.6,
13.6,11.9,15.8,6.4,,266.0,12.3,,999.4,
12.2,8.9,15.3,0.0,,257.0,9.6,,1011.6,
15.4,12.9,17.1,9.7,,216.0,19.7,,1008.0,
15.6,13.7,17.3,13.5,,238.0,22.1,,1002.3,
16.0,13.3,18.5,0.3,,217.0,14.1,,1012.8,
18.2,16.2,21.3,0.0,,177.0,15.7,,1009.8,
16.6,13.7,18.9,1.5,,185.0,15.4,,1008.9,
15.5,12.7,17.7,2.5,,146.0,12.3,,1009.8,
17.5,15.5,19.7,0.0,,201.0,17.7,,1005.8,
14.6,14.1,15.4,0.0,,168.0,8.8,,1005.6,
11.4,9.2,14.0,4.8,,202.0,13.2,,1009.5,
15.8,12.3,18.0,5.3,,207.0,19.9,,1003.3,
15.1,12.8,16.6,5.8,,226.0,27.6,,1001.7,
9.9,0.0,13.8,0.5,,,,,,
10.6,6.1,14.4,0.0,,240.0,14.1,,1019.3,
13.7,11.7,14.6,0.3,,222.0,20.2,,1015.0,
10.4,0.0,13.7,6.1,,,,,,
14.6,12.3,16.7,0.5,,208.0,21.0,,1011.2,
9.5,7.9,12.0,1.8,,293.0,13.4,,1022.4,
12.6,7.7,15.1,0.0,,235.0,17.0,,1029.0,
13.6,10.7,14.7,0.5,,236.0,20.8,,1019.8,
9.6,7.7,11.5,2.0,,275.0,11.2,,1013.6,
7.7,5.3,10.3,0.0,,17.0,12.4,,1025.0,
6.6,4.3,9.7,0.3,,275.0,9.1,,1026.0,
9.6,6.9,12.3,0.3,,291.0,11.2,,1011.6,
6.7,3.7,7.9,0.8,,325.0,14.2,,1009.4,
4.1,1.8,7.0,0.5,,316.0,10.1,,1017.1,
4.0,1.6,7.9,0.0,,7.0,7.3,,1024.6,
4.4,1.7,8.0,0.3,,,5.3,,1031.2,
-0.1,-4.6,6.9,0.3,,282.0,1.4,,1033.5,
4.2,2.5,8.1,0.3,,21.0,4.9,,1034.5,
5.7,2.1,9.1,0.3,,36.0,7.7,,1037.5,
4.2,2.1,7.9,0.3,,331.0,7.5,,1036.8,
4.9,2.1,9.7,0.0,,275.0,14.6,,1015.3,
1.6,0.3,2.7,2.0,,288.0,18.9,,992.8,
4.3,2.6,5.9,0.0,,343.0,20.4,,991.7,
4.1,2.9,4.9,0.5,,330.0,14.2,,997.3,
2.8,,,0.0,,,,,,
3.7,1.8,5.8,0.5,,316.0,9.9,,1007.4,
6.0,2.1,9.1,0.0,,193.0,5.2,,1008.9,
8.7,7.6,9.5,0.8,,163.0,20.9,,997.1,
9.3,7.2,11.1,12.7,,148.0,28.6,,980.7,
8.9,7.9,10.4,7.1,,228.0,18.1,,984.4,
7.6,6.5,9.2,0.8,,249.0,10.1,,991.0,
7.6,6.2,8.9,0.0,,279.0,13.3,,997.4,
5.8,4.1,7.0,0.0,,322.0,10.9,,1005.7,
5.5,3.0,7.9,0.3,,240.0,11.3,,1013.7,
7.0,5.1,8.1,6.1,,50.0,12.0,,1015.0,
5.3,2.6,8.2,0.5,,134.0,6.8,,1036.3,
1.7,-1.6,7.7,0.0,,,1.1,,,
1.1,,4.2,,,,,,,
7.1,5.9,8.4,0.3,,30.0,14.3,,1038.4,
6.3,4.9,7.2,0.0,,351.0,11.8,,1038.9,
7.8,5.2,8.8,0.0,,343.0,11.7,,1032.1,
9.2,7.4,11.3,0.0,,296.0,15.3,,1024.1,
8.9,3.0,11.9,0.3,,308.0,25.7,,1013.8,
2.7,0.9,4.4,0.0,,335.0,18.9,,1020.8,
2.5,-0.4,6.9,0.0,,263.0,11.4,,1022.5,
7.2,4.9,9.1,0.5,,301.0,12.1,,1022.8,
6.3,3.7,8.5,0.0,,251.0,8.4,,1030.0,
9.2,7.7,10.7,0.3,,257.0,11.4,,1030.8,
9.4,8.2,10.5,0.0,,250.0,14.6,,1030.2,
9.7,9.1,10.5,0.0,,250.0,13.0,,1026.8,
8.9,6.2,11.4,0.0,,296.0,9.7,,1025.4,
5.0,3.5,6.6,0.0,,33.0,10.5,,1026.4,
4.4,2.3,5.5,0.3,,15.0,12.0,,1020.0,
1.3,0.8,2.2,0.8,,26.0,16.5,,1014.7,
0.2,-0.9,1.7,0.3,,12.0,13.9,,1016.7,
0.3,-0.3,1.4,0.0,,287.0,9.4,,1016.0,
5.0,1.8,9.9,0.0,,202.0,19.4,,999.7,
5.8,0.0,8.8,14.5,,228.0,20.7,,,
6.1,3.9,7.7,0.3,,302.0,13.0,,,
5.7,0.0,7.6,0.0,,311.0,6.1,,,
8.5,7.4,9.8,0.0,,241.0,10.4,,1027.6,
6.1,3.7,7.8,1.0,,69.0,15.8,,1029.0,
3.6,2.6,4.5,0.0,,91.0,13.0,,1021.4,
3.8,2.8,5.1,0.0,,66.0,10.0,,1021.2,
2.8,1.9,3.9,0.3,,65.0,8.3,,1024.1,
4.5,3.4,5.1,1.5,,80.0,14.9,,1024.0,
6.2,5.1,7.6,5.1,,146.0,13.2,,1025.3,
6.2,,,0.0,,,,,,
9.0,6.2,10.3,0.8,,242.0,15.5,,1021.4,
6.1,4.6,7.4,0.8,,195.0,13.4,,1028.8,
7.8,7.0,8.4,0.3,,186.0,19.1,,1022.1,
8.8,8.0,9.7,0.0,,195.0,16.2,,1020.2,
6.9,0.0,10.1,1.0,,154.0,16.8,,,
6.9,5.9,9.3,0.3,,182.0,16.7,,,
8.4,7.4,9.7,4.3,,281.0,14.6,,1004.1,
9.3,5.4,12.7,0.5,,270.0,10.7,,,
9.4,0.0,11.2,0.3,,,,,,
8.0,0.0,10.8,0.0,,244.0,24.3,,,
7.0,5.3,9.5,0.8,,324.0,12.4,,1027.5,
4.9,2.8,6.9,0.0,,69.0,8.7,,1036.6,
3.5,1.6,4.8,0.3,,137.0,13.2,,1036.0,
1.6,0.0,4.1,0.0,,36.0,3.9,,1031.0,
2.4,-2.0,6.4,0.0,,30.0,11.8,,1026.3,
3.7,2.1,5.3,0.0,,49.0,20.7,,1026.3,
3.0,1.9,4.3,0.0,,59.0,16.7,,1025.0,
2.6,-0.1,6.7,0.0,,62.0,18.3,,1025.8,
2.6,0.0,7.3,0.3,,44.0,17.5,,,
5.8,4.9,6.7,0.0,,90.0,19.2,,1031.8,
4.3,2.4,5.8,0.0,,101.0,15.9,,1027.4,
2.2,0.5,3.6,0.0,,58.0,8.0,,1023.3,
0.1,-1.0,1.9,0.0,,50.0,7.5,,1023.0,
0.7,-1.6,3.2,0.0,,10.0,9.8,,1024.6,
4.6,3.4,6.1,0.0,,18.0,9.4,,1029.4,
6.8,4.8,8.8,0.0,,322.0,8.7,,1032.4,
6.9,5.4,7.9,0.0,,302.0,15.5,,1029.6,
8.6,7.7,9.5,0.0,,270.0,17.3,,1021.1,
7.1,4.7,9.2,2.0,,304.0,21.5,,1009.7,
2.4,,6.3,0.0,,,,,,
3.8,1.2,6.5,0.0,,8.0,10.4,,1024.3,
5.2,3.7,6.9,0.0,,230.0,8.8,,1027.0,
6.3,2.6,9.2,1.5,,239.0,12.8,,1022.6,
8.5,0.4,11.9,8.9,,240.0,13.6,,,
8.9,6.9,12.0,0.0,,226.0,18.2,,1011.4,
9.8,8.1,11.6,10.4,,243.0,22.2,,993.4,
7.5,6.2,9.3,0.0,,235.0,18.4,,985.3,
7.9,5.7,10.2,2.8,,254.0,15.3,,985.4,
3.7,-2.0,9.2,0.0,,,4.5,,992.4,
6.2,5.4,6.9,0.3,,92.0,17.3,,997.8,
5.3,3.1,6.8,8.6,,48.0,26.2,,1011.0,
3.3,1.9,5.3,0.3,,26.0,22.5,,1019.8,
3.4,2.6,4.1,1.0,,72.0,21.2,,1025.2,
2.3,1.5,3.1,0.5,,38.0,14.1,,1024.1,
2.6,1.3,4.2,4.8,,78.0,19.1,,1019.0,
3.9,1.8,6.3,0.0,,67.0,24.4,,1018.8,
3.7,2.0,6.5,0.0,,43.0,22.7,,1024.0,
4.5,3.1,6.1,0.0,,326.0,16.1,,1019.7,
2.7,-0.7,5.7,0.0,,312.0,22.0,,1008.0,
1.5,-0.8,4.8,0.0,,297.0,16.7,,1005.7,
1.9,-1.4,5.8,0.0,,282.0,12.4,,1001.6,
2.4,-0.3,5.2,0.0,,29.0,10.1,,998.0,
2.0,-1.4,5.1,0.0,,314.0,12.0,,1001.0,
2.8,-1.8,7.3,0.0,,289.0,15.0,,,
4.7,2.3,7.3,0.0,,332.0,14.2,,1018.8,
3.9,0.3,5.4,0.0,20.0,,9.7,,1014.7,
10.2,6.3,12.1,7.9,,245.0,13.2,,998.9,
9.4,6.8,11.5,7.9,,265.0,16.1,,997.7,
6.5,5.1,8.2,3.6,,289.0,22.1,,1000.1,
3.9,0.8,5.3,0.8,,34.0,16.8,,1017.4,
2.7,0.1,5.7,0.0,,150.0,15.3,,1030.1,
3.2,0.7,6.5,0.0,,153.0,17.9,,1028.2,
5.4,3.1,7.7,0.0,,197.0,13.7,,1021.6,
5.7,1.9,9.1,0.3,,100.0,13.8,,1022.9,
2.5,1.5,3.5,0.0,,65.0,17.7,,1026.6,
3.3,1.7,7.3,0.0,,58.0,24.4,,1025.9,
3.5,2.0,7.0,0.0,,62.0,26.8,,1021.0,
5.3,2.2,9.7,0.0,,85.0,19.6,,1016.0,
4.8,2.7,6.3,0.0,,80.0,18.2,,1012.7,
4.1,2.7,5.6,0.0,,72.0,18.5,,1012.6,
3.6,0.6,6.8,0.0,,79.0,17.0,,1013.1,
5.8,1.0,11.7,0.0,,116.0,16.5,,1007.8,
10.2,6.5,13.9,2.0,,181.0,16.3,,993.3,
11.8,10.5,13.8,3.3,,228.0,19.9,,1000.7,
12.1,6.8,14.6,1.5,,,,,,
12.2,10.5,14.1,2.3,,224.0,29.5,,996.6,
10.2,8.3,12.8,0.0,,248.0,22.6,,998.4,
10.2,7.6,13.1,4.6,,233.0,13.9,,1004.7,
12.5,10.2,14.9,6.1,,231.0,23.9,,997.3,
12.6,11.3,15.2,0.0,,246.0,22.1,,1003.7,
11.3,8.9,13.9,2.5,,248.0,21.3,,1005.0,
10.3,7.3,13.3,5.6,,248.0,19.5,,1005.6,
9.4,7.3,12.0,1.5,,297.0,19.4,,1017.2,
6.1,3.8,8.6,0.0,,11.0,15.9,,1020.5,
6.1,0.9,11.0,0.0,,10.0,12.5,,1017.7,
8.6,3.9,13.3,0.0,,283.0,15.9,,1014.9,
8.7,6.2,11.9,0.0,,250.0,15.0,,1012.6,
8.9,6.6,12.5,0.5,,274.0,20.3,,1007.0,
5.7,3.1,9.8,0.0,,336.0,15.1,,1013.4,
6.0,2.1,9.8,5.1,,24.0,14.3,,1021.3,
7.1,4.1,9.5,0.0,,238.0,17.3,,1016.8,
9.6,6.0,13.3,4.6,,287.0,16.5,,1013.0,
12.4,10.3,15.5,0.0,,272.0,21.6,,1009.5,
11.7,8.5,16.3,0.0,,278.0,11.1,,1012.2,
11.2,9.3,13.6,3.3,,101.0,12.3,,1007.4,
12.6,9.6,15.9,0.0,,288.0,11.2,,1009.8,
11.7,8.3,15.4,0.3,,288.0,15.4,,1013.2,
10.0,5.1,14.5,0.0,,250.0,15.0,,1014.0,
11.9,9.4,14.6,0.3,,242.0,17.4,,1012.5,
12.2,11.0,13.7,0.0,,219.0,17.1,,1012.3,
13.8,10.9,17.9,0.5,,77.0,11.0,,1015.9,
11.9,7.1,18.1,0.0,,113.0,11.2,,1020.1,
11.8,9.6,13.5,0.3,,175.0,8.7,,1016.2,
11.0,9.1,14.4,2.3,,96.0,12.8,,1017.4,
12.4,9.6,15.0,0.0,,223.0,13.1,,1016.2,
13.0,9.8,15.8,0.5,,316.0,11.4,,1019.9,
13.8,11.8,15.7,0.0,,4.0,9.5,,1024.5,
11.5,8.8,13.5,0.0,20.0,20.0,14.2,,1025.8,
9.9,7.6,12.1,0.0,,1.0,12.2,,1021.2,
9.7,5.9,12.9,0.0,,322.0,11.2,,1011.6,
11.7,9.0,14.9,8.9,,255.0,18.9,,1002.5,
12.8,8.3,16.6,2.0,,210.0,17.6,,1008.1,
15.9,11.0,21.1,0.0,,217.0,12.3,,1013.1,
19.5,12.5,27.0,0.0,,102.0,15.2,,,
17.8,13.5,22.8,0.0,,255.0,11.4,,1019.3,
13.4,11.3,17.8,0.0,,312.0,6.9,,1020.4,
14.2,11.7,17.8,1.8,,34.0,9.7,,1016.5,
13.4,11.5,16.1,3.3,,160.0,12.7,,1011.2,
13.2,8.9,19.2,10.4,,,8.8,,,
15.8,9.7,22.8,0.5,,65.0,11.5,,1018.6,
17.3,10.5,23.3,0.0,,52.0,8.4,,1018.4,
19.0,12.4,24.8,0.0,,118.0,8.5,,1015.2,
13.3,11.8,17.5,9.4,,,11.5,,,
13.3,11.6,16.4,0.8,,129.0,12.5,,1021.6,
15.2,12.0,18.9,0.0,,188.0,14.9,,1013.5,
14.7,12.8,17.7,0.3,,272.0,12.5,,1014.8,
12.9,,17.2,1.5,,,,,,
15.3,12.9,18.1,7.1,,224.0,23.7,,1006.7,
13.5,11.9,16.6,0.5,,242.0,25.8,,1001.8,
13.1,11.9,15.0,14.5,,252.0,20.1,,992.3,
13.0,11.7,14.6,1.5,,220.0,15.8,,997.5,
12.8,9.3,15.4,9.7,,227.0,24.0,,991.2,
10.8,7.6,14.4,4.1,,274.0,16.5,,1012.7,
11.4,9.8,14.5,1.3,,255.0,19.4,,1015.0,
14.1,9.7,18.9,12.7,,288.0,10.9,,1015.1,
15.6,13.1,19.2,3.8,,248.0,19.2,,1017.4,
15.4,14.3,16.6,0.8,,267.0,15.6,,1019.4,
14.5,11.5,16.9,3.8,,299.0,16.6,,1020.1,
11.7,8.2,14.0,0.3,,335.0,16.5,,1016.3,
10.2,7.3,13.4,4.1,,338.0,17.3,,1020.4,
11.1,7.1,14.7,0.0,,12.0,14.8,,1025.0,
12.6,8.5,15.5,0.0,,332.0,12.0,,1027.6,
15.6,11.5,19.4,0.0,,311.0,7.5,,1029.9,
17.9,12.0,24.0,0.0,,334.0,10.9,,1029.2,
18.5,13.3,23.2,0.0,,278.0,9.5,,1026.3,
16.0,12.2,19.0,0.5,,51.0,14.4,,1025.2,
14.8,8.9,20.2,0.0,,50.0,6.7,,,
18.3,11.1,24.8,0.0,,281.0,7.2,,1027.4,
22.3,17.3,27.5,0.0,,189.0,9.1,,1025.9,
20.6,14.8,26.7,0.0,,107.0,18.2,,1022.9,
22.9,15.7,29.0,0.0,,129.0,17.3,,1018.4,
24.5,20.6,29.0,0.0,,216.0,9.3,,1019.7,
26.6,21.3,32.2,0.0,,179.0,13.0,,1018.9,
20.4,16.6,25.3,1.5,,323.0,8.9,,1020.4,
15.9,13.8,17.6,2.0,,63.0,14.8,,1021.3,
15.9,11.8,19.9,0.3,,44.0,11.9,,1021.2,
19.2,13.6,24.8,0.0,,292.0,9.8,,1019.2,
23.1,18.3,28.6,0.0,,223.0,7.6,,1018.2,
21.7,17.7,25.8,0.0,,216.0,9.2,,1012.7,
18.2,15.9,20.3,0.0,,235.0,17.7,,1010.1,
17.3,13.5,22.6,0.3,,234.0,18.4,,1012.8,
16.5,14.6,19.4,1.0,,267.0,21.4,,1009.0,
15.9,11.8,19.7,0.0,,280.0,18.1,,1012.6,
17.7,13.6,22.8,0.0,,276.0,8.4,,1017.6,
19.8,13.9,26.2,1.0,,210.0,9.2,,1015.3,
19.8,16.5,23.2,0.0,,126.0,12.2,,1013.3,
14.4,13.4,17.2,1.3,,33.0,13.3,,1016.7,
15.5,11.9,19.1,4.3,,63.0,9.5,,1020.6,
17.8,13.7,21.7,0.0,,117.0,13.7,,1021.3,
18.8,13.5,24.1,0.0,,115.0,12.2,,1022.6,
21.5,14.4,28.2,0.0,,121.0,10.7,,1024.0,
22.8,17.1,28.6,0.0,,104.0,13.4,,1023.4,
25.2,19.7,31.3,0.0,,99.0,11.5,,1019.3,
24.7,19.0,30.1,0.0,,88.0,14.0,,1016.4,
23.8,17.3,29.9,0.0,,72.0,10.2,,1014.8,
19.8,17.7,21.3,0.8,,,5.9,,,
20.8,18.0,25.6,3.0,,241.0,14.4,,1015.3,
19.6,18.1,21.6,0.3,,257.0,13.4,,1017.1,
18.7,15.4,22.4,0.3,,241.0,14.9,,1016.8,
18.4,15.3,22.9,2.3,,241.0,20.3,,1012.0,
17.6,13.6,22.1,0.0,,202.0,11.9,,1021.3,
20.7,17.0,24.9,1.3,,300.0,12.2,,1023.1,
22.0,16.2,28.0,0.0,,260.0,7.6,,1024.6,
19.5,16.6,22.7,0.0,,18.0,14.1,,1026.0,
17.4,13.0,22.3,0.0,,78.0,20.6,,1031.6,
18.8,13.9,24.5,0.0,,85.0,18.2,,1030.6,
21.6,14.5,28.9,0.0,,90.0,14.7,,1027.6,
24.5,17.1,31.5,0.0,,91.0,10.6,,1025.0,
25.0,18.3,31.4,0.0,,99.0,12.5,,1021.5,
26.4,18.3,35.0,0.0,,95.0,14.2,,,
25.0,19.8,30.0,0.0,,230.0,15.9,,,
26.2,19.9,31.8,0.0,,228.0,10.4,,1019.3,
24.0,21.1,29.5,3.3,,222.0,10.5,,1016.1,
22.2,18.3,26.7,1.3,,255.0,10.4,,1018.5,
23.6,17.9,29.8,0.0,,82.0,12.1,,1020.7,
24.6,18.8,30.8,0.0,,106.0,14.8,,1018.4,
27.0,22.3,32.6,0.0,,179.0,9.4,,1016.5,
25.0,22.1,30.3,2.0,,241.0,9.4,,1015.1,
23.0,18.6,28.5,8.6,,312.0,9.7,,1012.8,
22.4,18.8,25.5,0.0,,248.0,14.0,,1009.2,
20.7,17.8,25.1,0.5,,237.0,16.2,,,
20.3,17.5,24.0,0.0,,232.0,19.1,,1010.3,
18.6,15.8,21.6,0.5,,280.0,20.6,,1006.1,
17.8,14.9,21.5,0.0,,295.0,22.7,,1007.8,
16.4,13.8,20.4,0.5,,345.0,19.8,,1012.7,
16.8,10.9,21.9,0.3,,351.0,6.2,,1018.6,
21.2,15.7,27.1,0.0,,54.0,6.1,,1020.9,
21.8,15.5,27.7,0.0,,310.0,5.5,,1021.2,
20.0,16.5,22.8,0.0,,356.0,12.5,,1021.5,
19.3,13.4,25.5,0.3,,13.0,9.9,,1022.2,
18.8,15.5,21.3,0.5,,321.0,16.0,,1016.9,
17.0,14.0,20.0,0.0,,306.0,19.9,,1015.5,
16.1,13.0,19.5,0.5,,321.0,18.2,,1013.2,
15.6,13.5,17.8,0.0,,349.0,24.1,,1012.1,
14.8,10.9,17.8,0.0,,,,,1009.5,
15.7,14.0,17.9,29.0,,330.0,11.1,,1011.5,
