tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
13.0,11.4,14.7,,,191.0,15.3,,1005.7,
11.9,,15.5,1.3,,,,,,
11.4,,15.8,0.5,,,,,,
11.4,7.2,15.1,,,230.0,8.5,,1010.0,
10.4,5.8,15.3,1.5,,,,,,
13.0,10.9,15.5,5.8,,171.0,15.5,,1005.4,
12.4,10.6,16.0,4.1,,178.0,10.1,,1005.0,
12.9,9.9,17.5,,,147.0,10.8,,1009.2,
11.8,10.2,13.0,1.5,,43.0,10.6,,1007.5,
14.5,10.2,19.7,,,212.0,11.0,,1014.1,
12.5,11.0,14.5,,,59.0,8.8,,1021.9,
12.2,7.8,15.8,,,47.0,13.7,,1023.9,
10.9,8.7,14.3,,,48.0,16.5,,1025.4,
9.8,8.5,11.4,0.8,,38.0,16.5,,1024.0,
10.0,8.2,12.1,1.5,,45.0,16.5,,1022.4,
12.5,7.3,19.3,,,40.0,19.4,,1017.2,
16.8,9.4,25.5,,,60.0,12.2,,1012.5,
18.3,14.2,22.5,,,66.0,9.9,,1014.3,
14.9,10.4,18.6,0.8,,40.0,8.4,,1017.0,
16.2,11.6,22.1,,,16.0,7.9,,1018.2,
15.0,12.5,16.7,,,41.0,13.6,,1017.6,
13.4,10.9,17.8,8.1,,38.0,20.5,,1018.3,
13.9,9.0,18.5,1.5,,60.0,12.0,,1020.5,
18.8,15.0,24.4,,,126.0,6.7,,1021.2,
20.8,15.6,26.2,,,157.0,8.1,,1022.4,
21.1,15.4,26.6,,,,9.6,,1017.6,
17.8,11.7,22.4,,,,15.6,,1010.8,
12.9,11.5,16.0,1.5,,240.0,26.1,,1008.9,
11.1,7.2,15.5,9.1,,262.0,16.2,,,
11.4,9.0,13.9,2.8,,275.0,16.7,,1008.0,
12.5,8.1,16.7,,,242.0,10.5,,1012.0,
11.7,8.4,16.0,13.0,,267.0,9.4,,,
14.5,10.0,18.8,,,242.0,14.2,,1014.4,
13.2,11.6,14.3,2.8,,,,,,
13.3,9.3,17.5,1.8,,207.0,10.7,,1011.8,
12.1,9.3,16.1,7.1,,273.0,21.4,,1010.7,
12.1,10.7,14.2,15.7,,162.0,11.6,,1008.5,
10.8,7.5,13.8,6.1,,231.0,24.0,,1005.4,
9.8,6.1,13.8,17.0,,280.0,21.2,,1001.4,
12.0,7.6,16.6,3.8,,252.0,14.9,,1012.6,
13.2,10.6,15.3,1.5,,135.0,7.8,,1013.1,
14.4,9.2,19.1,,,198.0,9.4,,1018.0,
14.7,13.1,18.0,1.3,,221.0,18.2,,1016.1,
16.2,13.3,19.5,,,231.0,13.7,,1017.4,
18.9,13.5,25.2,,,200.0,8.0,,1016.5,
16.2,13.3,18.6,,,244.0,14.4,,1016.5,
13.9,11.4,16.3,,,,8.0,,1018.8,
14.9,12.3,18.6,,,255.0,13.2,,1019.7,
15.8,11.1,21.8,,,242.0,10.7,,1023.5,
17.7,12.5,22.3,,,161.0,16.8,,1015.1,
17.4,14.2,19.5,,,162.0,10.7,,1008.7,
15.4,11.3,20.3,,,245.0,14.2,,1016.3,
15.5,12.2,19.4,,,254.0,17.5,,1017.9,
18.7,13.2,25.3,,,235.0,18.5,,1023.2,
17.9,14.4,22.1,,,253.0,20.3,,1024.7,
18.2,15.7,21.6,,,243.0,17.8,,1023.2,
17.9,15.7,21.2,,,263.0,12.9,,1025.1,
18.1,15.2,21.6,,,93.0,10.1,,1026.9,
20.3,,25.9,,,,,,,
25.0,18.6,31.0,,,153.0,11.6,,1022.0,
26.2,22.1,32.2,,,194.0,12.7,,1014.5,
18.2,15.2,21.3,,,220.0,11.3,,1012.6,
17.5,15.1,19.0,1.5,,215.0,21.0,,1009.3,
15.6,13.9,18.5,0.8,,220.0,21.7,,1010.5,
15.0,12.2,17.6,2.8,,270.0,20.1,,1015.9,
12.0,9.2,14.9,,,292.0,14.1,,1018.4,
14.4,10.3,18.0,,,333.0,5.7,,,
15.5,12.7,18.5,1.5,,122.0,8.1,,1024.8,
17.7,13.1,22.3,,,150.0,7.8,,1023.1,
17.4,15.3,20.7,,,124.0,8.5,,1020.6,
16.6,14.2,19.2,,,199.0,8.9,,1020.4,
16.1,14.1,19.5,8.1,,90.0,12.0,,1015.0,
17.9,15.1,21.9,0.5,,168.0,8.3,,1009.2,
18.1,13.7,22.8,1.5,,232.0,8.6,,1009.8,
19.8,16.3,24.8,0.8,,242.0,8.8,,1009.1,
16.3,,18.3,,,,,,,
15.3,13.7,17.1,17.0,,10.0,8.6,,1012.5,
18.0,14.7,22.6,,,125.0,9.1,,1018.0,
15.0,12.1,16.9,,,33.0,17.7,,1018.6,
15.0,12.4,17.6,1.3,,265.0,14.4,,1016.7,
15.3,13.6,17.5,9.7,,232.0,15.6,,999.0,
13.5,12.3,15.6,10.4,,276.0,18.8,,992.4,
12.9,11.0,16.0,0.8,,316.0,15.3,,1005.5,
14.6,10.2,19.2,,,247.0,13.2,,1014.2,
16.3,14.5,20.6,6.1,,262.0,15.0,,1010.9,
14.9,13.4,16.3,3.8,,288.0,19.2,,1011.1,
13.8,,,,,,,,,
13.9,9.8,18.2,,,,8.4,,,
17.1,12.2,21.6,,,35.0,6.2,,1019.6,
17.4,9.5,24.7,,,296.0,6.2,,1020.6,
18.3,11.2,24.6,,,317.0,9.3,,1021.0,
20.8,16.8,25.3,,,339.0,9.5,,1022.4,
19.5,15.8,24.8,,,74.0,11.2,,1025.0,
16.0,13.1,20.2,,,58.0,18.5,,1022.2,
15.2,12.6,17.9,1.5,,57.0,18.7,,1016.1,
14.4,12.9,16.5,1.5,,27.0,15.1,,1010.0,
15.7,12.8,18.4,,,67.0,7.3,,1007.9,
18.8,15.1,23.4,,,213.0,8.1,,1009.6,
19.7,16.4,24.2,,,228.0,10.0,,1012.5,
18.2,15.7,21.0,5.8,,246.0,12.0,,1013.5,
19.5,15.1,24.7,,,261.0,11.9,,1016.3,
19.9,15.4,24.3,,,255.0,10.6,,1021.2,
21.4,17.8,25.2,,,230.0,11.8,,1021.4,
19.0,13.6,24.3,,,218.0,12.4,,,
17.9,14.7,22.6,,,227.0,16.7,,1013.8,
15.9,14.5,18.9,7.1,,264.0,11.7,,1014.1,
17.9,14.9,22.0,,,325.0,11.7,,1022.1,
19.1,14.9,23.9,,,281.0,8.4,,1024.5,
20.8,17.6,24.1,,,285.0,12.0,,1024.5,
20.6,18.1,23.7,,,305.0,11.9,,1023.8,
19.6,18.0,21.6,6.9,,229.0,6.1,,1021.0,
19.5,16.4,23.1,,,200.0,11.6,,1018.6,
19.9,16.9,24.7,,,266.0,14.8,,,
19.7,15.1,25.3,,,274.0,3.8,,,
19.9,11.7,27.0,,,209.0,7.2,,,
18.6,14.2,24.5,,,192.0,7.7,,1015.1,
19.8,17.7,23.2,1.3,,215.0,19.8,,,
18.6,14.7,23.2,,,247.0,17.0,,,
18.7,14.7,23.1,1.5,,,,,,
17.2,14.4,23.0,,,235.0,18.0,,,
16.8,13.2,19.7,1.5,,183.0,10.9,,1011.7,
18.8,15.9,22.4,1.3,,233.0,13.3,,1009.9,
17.8,14.2,21.3,,,101.0,8.2,,1012.6,
17.0,13.3,21.9,,,233.0,11.7,,1013.8,
16.2,8.9,23.0,,,163.0,7.5,,1019.1,
18.0,13.6,22.5,,,69.0,17.9,,1023.1,
19.5,13.5,26.0,,,70.0,10.9,,1023.4,
19.7,16.2,23.7,,,73.0,19.6,,1019.4,
19.1,17.6,21.0,6.1,,193.0,10.6,,1009.9,
17.2,14.4,21.4,,,239.0,11.2,,1014.0,
16.5,13.4,20.4,1.8,,245.0,10.6,,1017.4,
17.3,12.7,21.5,,,254.0,7.3,,1019.3,
16.7,12.8,21.4,,,,10.6,,1019.1,
17.2,13.0,22.6,,,168.0,9.4,,1011.1,
15.6,13.7,18.1,7.1,,234.0,14.4,,1001.2,
15.6,13.3,19.5,1.5,,294.0,13.5,,1006.4,
13.9,10.1,17.3,,,356.0,12.1,,1018.9,
15.0,10.6,19.8,,,277.0,8.0,,1023.3,
16.4,12.8,20.7,,,219.0,13.2,,1020.5,
16.1,12.4,20.5,1.3,,251.0,18.0,,1011.2,
15.8,11.8,19.0,,,237.0,13.2,,1014.9,
18.4,16.8,20.3,,,242.0,10.8,,,
18.8,15.9,22.4,1.0,,245.0,6.5,,1022.6,
21.5,17.0,27.0,,,220.0,5.7,,1021.9,
22.3,17.2,27.9,,,132.0,9.4,,1014.7,
18.9,15.9,23.2,,,253.0,15.7,,1010.8,
17.9,15.8,21.3,,,241.0,9.7,,1013.1,
