,date,tmin
4018,2011-01-01,3.7
4019,2011-01-02,2.0
4020,2011-01-03,1.0
4021,2011-01-04,2.0
4022,2011-01-05,5.0
4023,2011-01-06,3.0
4024,2011-01-07,2.0
4025,2011-01-08,1.0
4026,2011-01-09,3.0
4027,2011-01-10,3.0
4028,2011-01-11,3.0
4029,2011-01-12,5.0
4030,2011-01-13,11.3
4031,2011-01-14,7.7
4032,2011-01-15,8.0
4033,2011-01-16,10.0
4034,2011-01-17,6.0
4035,2011-01-18,4.0
4036,2011-01-19,2.0
4037,2011-01-20,4.0
4038,2011-01-21,-1.4
4039,2011-01-22,1.0
4040,2011-01-23,6.0
4041,2011-01-24,4.0
4042,2011-01-25,2.0
4043,2011-01-26,2.2
4044,2011-01-27,2.0
4045,2011-01-28,0.0
4046,2011-01-29,1.0
4047,2011-01-30,0.0
4048,2011-01-31,0.0
4049,2011-02-01,-2.0
4050,2011-02-02,2.2
4051,2011-02-03,3.2
4052,2011-02-04,10.0
4053,2011-02-05,11.0
4054,2011-02-06,10.0
4055,2011-02-07,7.0
4056,2011-02-08,3.0
4057,2011-02-09,4.0
4058,2011-02-10,8.3
4059,2011-02-11,9.0
4060,2011-02-12,6.0
4061,2011-02-13,6.0
4062,2011-02-14,5.0
4063,2011-02-15,5.0
4064,2011-02-16,6.0
4065,2011-02-17,4.0
4066,2011-02-18,2.0
4067,2011-02-19,3.0
4068,2011-02-20,4.0
4069,2011-02-21,4.0
4070,2011-02-22,4.6
4071,2011-02-23,6.0
4072,2011-02-24,9.0
4073,2011-02-25,6.6
4074,2011-02-26,7.0
4075,2011-02-27,5.0
4076,2011-02-28,3.0
4077,2011-03-01,3.0
4078,2011-03-02,0.8
4079,2011-03-03,0.1
4080,2011-03-04,1.0
4081,2011-03-05,0.8
4082,2011-03-06,4.0
4083,2011-03-07,0.0
4084,2011-03-08,-1.0
4085,2011-03-09,4.2
4086,2011-03-10,6.0
4087,2011-03-11,6.0
4088,2011-03-12,8.0
4089,2011-03-13,6.0
4090,2011-03-14,-2.5
4091,2011-03-15,6.6
4092,2011-03-16,4.9
4094,2011-03-18,4.0
4095,2011-03-19,1.0
4096,2011-03-20,3.0
4097,2011-03-21,5.0
4098,2011-03-22,6.4
4099,2011-03-23,1.9
4100,2011-03-24,5.0
4101,2011-03-25,2.1
4102,2011-03-26,6.0
4103,2011-03-27,6.9
4104,2011-03-28,6.0
4105,2011-03-29,4.0
4106,2011-03-30,9.1
4107,2011-03-31,10.0
4108,2011-04-01,12.0
4109,2011-04-02,11.0
4110,2011-04-03,8.0
4111,2011-04-04,4.8
4112,2011-04-05,8.8
4113,2011-04-06,13.0
4114,2011-04-07,10.0
4115,2011-04-08,10.0
